,Metrics,mean,mean,mean,std,std,std
Method,,1 DS3M,2 SNLDS,3 DSARF,1 DS3M,2 SNLDS,3 DSARF
0,1 RMSE,14.572,16.541,15.244,0.352,0.024,0.136
1,2 Duration for dt=1,7.509,1.282,3.946,1.579,0.001,0.426
2,3 Duration for dt=0,7.634,1.925,3.274,1.667,0.012,0.985
3,4 Accuracy (%),0.784,0.535,0.762,0.029,0.019,0.051
4,5 F1 score,0.778,0.549,0.757,0.023,0.001,0.035
5,6 Inference - Accuracy (%),0.84,0.694,0.82,0.022,0.004,0.043
6,7 Inference - F1 score,0.831,0.544,0.808,0.005,0.003,0.039
